Set temp 30 degree;
Measured 24.5 degree;
Waited for long time while capturing the previous logs. No stimulus applied at that time;
Started getting logs and then applied stimulus just after that;
Temprature went as high as upto 50 and machine gave error message as The heater is too hot.


PS C:\Users\DELL> python -m serial.tools.miniterm COM3 115200
--- Miniterm on COM3  115200,8,N,1 ---
--- Quit: Ctrl+] | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
00:40:38.979 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.000 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.003 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.035 V: [rs485]: Received: 10 - 7e 20 ff af 13 00 03 31 0c 34 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 1c 7e
00:40:39.039 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.060 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.063 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.079 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.099 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.103 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.119 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.139 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.143 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.159 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.180 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.183 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.198 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.219 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.223 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.238 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.259 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.263 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.279 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.299 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.303 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.335 V: [rs485]: Received: 10 - 7e 20 ff af 13 00 03 31 0c 34 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 1c 7e
00:40:39.338 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.359 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.363 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.378 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.399 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.403 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.418 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.439 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.443 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.458 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.479 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.483 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.498 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.519 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.523 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.538 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.559 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.563 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.578 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.598 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.602 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.633 V: [rs485]: Received: 10 - 7e 20 ff af 13 00 03 31 0c 34 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 1c 7e
00:40:39.638 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.659 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.663 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.678 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.699 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.703 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.721 V: [rs485]: Received: 10 - 7e 05 fe bf 00 ac 7e
00:40:39.738 V: [rs485]: Received: 0 - 7e 05 0a bf 06 79 7e
00:40:39.758 V: [rs485]: Received: 0 - 7e 05 10 bf 06 5c 7e
00:40:39.762 V: [rs485]: Received: 0 - 7e 05 10 bf 07 5b 7e
00:40:39.778 V: [rs485]: Received: 0 - 7e 05 0a bf 06 79 7e
00:40:39.799 V: [rs485]: Received: 0 - 7e 05 10 bf 06 5c 7e
00:40:39.802 V: [rs485]: Received: 0 - 7e 05 10 bf 07 5b 7e
00:40:39.818 V: [rs485]: Received: 0 - 7e 05 0a bf 06 79 7e
00:40:39.839 V: [rs485]: Received: 0 - 7e 05 10 bf 06 5c 7e
00:40:39.843 V: [rs485]: Received: 0 - 7e 05 10 bf 07 5b 7e
00:40:39.858 V: [rs485]: Received: 0 - 7e 05 0a bf 06 79 7e
00:40:39.878 V: [rs485]: Received: 0 - 7e 05 10 bf 06 5c 7e
00:40:39.882 V: [rs485]: Received: 0 - 7e 05 10 bf 07 5b 7e
00:40:39.898 V: [rs485]: Received: 0 - 7e 05 0a bf 06 79 7e
00:40:39.933 V: [rs485]: Received: 0 - 7e 20 ff af 13 00 03 31 0c 34 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 1c 7e
00:40:39.933 V: [rs485]: Set SPA id 0x0A
00:40:39.935 V: [rs485]: Sent: 7e 08 0a bf 05 04 37 00 ca 7e
00:40:39.935 V: [rs485]: Sent Existing Client Response
00:40:39.958 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:39.978 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:39.982 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:39.997 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.018 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.022 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.037 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.058 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.062 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.077 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.098 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.102 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.117 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.138 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.142 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.157 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.177 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.181 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.197 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.232 V: [rs485]: Received: 10 - 7e 20 ff af 13 00 03 31 0c 34 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 1c 7e
00:40:40.238 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.241 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.257 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.278 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.281 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.297 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.318 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.321 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.337 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.358 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.361 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.377 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.397 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.401 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.417 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.438 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.441 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.457 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.477 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.481 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.497 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.534 V: [rs485]: Received: 10 - 7e 20 ff af 13 00 03 31 0c 34 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 1c 7e
00:40:40.538 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.542 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.557 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.577 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.581 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.597 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.617 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.621 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.637 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.657 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.662 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.676 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:40.697 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:40.701 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:40.717 V: [rs485]: Received: 10 - 7e 05 fe bf 00 ac 7e
00:40:40.736 V: [rs485]: Received: 0 - 7e 05 0a bf 06 79 7e
00:40:40.757 V: [rs485]: Received: 0 - 7e 05 10 bf 06 5c 7e
00:40:40.760 V: [rs485]: Received: 0 - 7e 05 10 bf 07 5b 7e
00:40:40.776 V: [rs485]: Received: 0 - 7e 05 0a bf 06 79 7e
00:40:40.797 V: [rs485]: Received: 0 - 7e 05 10 bf 06 5c 7e
00:40:40.801 V: [rs485]: Received: 0 - 7e 05 10 bf 07 5b 7e
00:40:40.832 V: [rs485]: Received: 0 - 7e 20 ff af 13 00 03 31 0c 34 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 1c 7e
00:40:40.832 V: [rs485]: Set SPA id 0x0A
00:40:40.834 V: [rs485]: Sent: 7e 08 0a bf 05 04 37 00 ca 7e
00:40:40.834 V: [rs485]: Sent Existing Client Response
